"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2023-24",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,Manufacturing,C,Use,Wastewater (c),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Electricity and gas supply,D,Use,Wastewater (c),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,"Water supply, sewerage and drainage services",D,Use,Wastewater (c),ML,2051195,2013917,2092724.098,1951553.603,1993495,2066118,2167839,2420314,2295679,2249136
Australia,0,"Waste collection, treatment and disposal services",D,Use,Wastewater (c),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Use,Wastewater (c),ML,2051195,2013917,2092724.098,1951553.603,1993495,2066118,2167839,2420314,2295679,2249136
Australia,0,Other industries,E -S,Use,Wastewater (c),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Total industry,Total industry,Use,Wastewater (c),ML,2051195,2013917,2092724.098,1951553.603,1993495,2066118,2167839,2420314,2295679,2249136
Australia,0,Households (g),HH,Use,Wastewater (c),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Environment,Environment,Use,Wastewater (c),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total,Total,Use,Wastewater (c),ML,2051195,2013917,2092724.098,1951553.603,1993495,2066118,2167839,2420314,2295679,2249136
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Use,Reuse,ML,np,np,np,110959.5286,103285,91983,83400,83310.5247,76865.7489,87500
Australia,0,Mining,B,Use,Reuse,ML,3175,4006,3586.8706,2479,3842,2819,1852,765,631,1137
Australia,0,Manufacturing,C,Use,Reuse,ML,np,np,np,18807,22077,23174,25288,25621,26082,25289
Australia,0,Electricity and gas supply,D,Use,Reuse,ML,2410,2577,np,np,3536,2860,4438,4665,6004,3341
Australia,0,"Water supply, sewerage and drainage services",D,Use,Reuse,ML,np,np,105206.1295,96557.5948,92109,82302,85228,np,86770,103036
Australia,0,"Waste collection, treatment and disposal services",D,Use,Reuse,ML,np,np,np,np,323.9281,374.7551,237.4644,np,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Use,Reuse,ML,103404.7654,90486.7184,108282.6668,99641.7206,95968.9281,85536.7551,89903.4644,95760.7672,92774,106377
Australia,0,Other industries,E -S,Use,Reuse,ML,np,78758.8973,np,73052.8345,86460.8075,89251.0436,82081.4195,76391.5215,73635.5842,79214.7044
Australia,0,Total industry,Total industry,Use,Reuse,ML,314116.277,320349.6157,300268.0526,304940.0836,311633.7356,292763.7986,282524.884,281848.8133,269988.3331,299517.7044
Australia,0,Households (g),HH,Use,Reuse,ML,4650,5375,3985.0432,5088,5896,6039,5858,6346,6029,6925
Australia,0,Environment,Environment,Use,Reuse,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total,Total,Use,Reuse,ML,318766.277,325724.6157,304253.0958,310028.0836,317529.7356,298802.7986,288382.884,288194.8133,276017.3331,306442.7044
