"4610.0 Water Account, Australia, 2021-22",,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 19 October 2023,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2021-22",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit,   2014-15   ,   2015-16   ,   2016-17   ,   2017-18   ,   2018-19   ,   2019-20   ,   2020-21   ,  2021-22  
Australia,0,"Total Electricity, gas, water and waste services",D,Use,Sea water for desalination,ML,"144,152.00","148,908.00","202,821.95","171,693.00","131,636.00","385,384.00","314,415.00","283,152.00"
Australia,0,Other industries,E -S,Use,Sea water for desalination,ML,487.8083,479.6827,512.7143,527.9291,529.6567,500.8619,469.9314,479.0223
Australia,0,Total industry,Total industry,Use,Sea water for desalination,ML,"157,752.79","161,656.65","214,759.62","187,464.51","207,173.59","464,384.58","393,779.91","373,853.77"
Australia,0,Households (e),HH,Use,Sea water for desalination,ML, na , na , na , na , na , na , na , na 
Australia,0,Environment,Environment,Use,Sea water for desalination,ML, na , na , na , na , na , na , na , na 
Australia,0,Total,Total,Use,Sea water for desalination,ML,"157,752.79","161,656.65","214,759.62","187,464.51","207,173.59","464,384.58","393,779.91","373,853.77"
Australia,0,"Agriculture, forestry and fishing (d)",A,Use,Self-extracted,ML,"3,254,809.31","3,368,672.11","3,221,235.40","3,381,388.07","3,113,376.14","2,702,550.54","2,808,521.77","2,554,819.61"
Australia,0,Mining,B,Use,Self-extracted,ML,"1,138,052.27","1,142,394.61","1,164,067.50","1,124,387.16","1,149,777.43","1,196,164.69","1,348,013.21","1,410,967.82"
Australia,0,Manufacturing,C,Use,Self-extracted,ML,"364,518.08","345,105.68","349,236.14","376,899.48","369,557.50","354,959.10","385,566.23","362,840.28"
Australia,0,Electricity and gas supply,D,Use,Self-extracted,ML,"49,955,094.97","48,542,086.81","53,556,413.01","53,093,634.42","50,829,935.97","54,011,071.24","48,376,983.54","49,852,891.73"
Australia,0,"Water supply, sewerage and drainage services",D,Use,Self-extracted,ML,"12,159,329.43","10,825,985.36","11,810,876.22","12,583,740.66","10,370,491.45","8,769,957.91","11,372,916.15","11,898,356.60"
Australia,0,"Waste collection, treatment and disposal services",D,Use,Self-extracted,ML,383.2671,332.0851,241.5326,579.874,462.113,458.4817,395.7646,320.9026
Australia,0,"Total Electricity, gas, water and waste services",D,Use,Self-extracted,ML,"62,114,807.67","59,368,404.26","65,367,530.76","65,677,954.96","61,200,889.53","62,781,487.62","59,750,295.46","61,751,569.23"
Australia,0,Other industries,E -S,Use,Self-extracted,ML,"106,841.01","105,443.08","114,035.30","122,146.87","118,151.99","113,422.74","119,958.08","124,643.87"
Australia,0,Total industry,Total industry,Use,Self-extracted,ML,"66,979,028.34","64,330,019.74","70,216,105.11","70,682,776.54","65,951,752.59","67,148,584.69","64,412,354.75","66,204,840.82"
Australia,0,Households (e),HH,Use,Self-extracted,ML, na , na , na , na , na , na , na , na 
Australia,0,Environment,Environment,Use,Self-extracted,ML,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Use,Self-extracted,ML,"66,979,028.34","64,330,019.74","70,216,105.11","70,682,776.54","65,951,752.59","67,148,584.69","64,412,354.75","66,204,840.82"
Australia,0,"Agriculture, forestry and fishing (d)",A,Use,Distributed,ML,"7,413,502.35","6,332,072.74","7,520,684.71","8,107,940.08","5,759,348.66","4,314,140.79","6,820,259.43","7,335,819.84"
Australia,0,Mining,B,Use,Distributed,ML,"113,134.90","100,301.94","105,186.59","125,268.83","131,921.40","146,946.00","107,257.00","92,543.00"
Australia,0,Manufacturing,C,Use,Distributed,ML,"255,304.30","246,244.60","251,553.11","252,246.33","248,156.66","262,475.00","243,953.00","237,448.00"
Australia,0,Electricity and gas supply,D,Use,Distributed,ML,"136,340.00","117,817.00", np ,"150,127.97","130,719.00","188,959.00","258,345.00","151,765.00"
