"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Monetary Water Supply and Use, by Industry and Water Type, Australia and state/territory (Purchasers' Prices), $ Million, 2014-15 to 2023-24 (a)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,Total Industry,Total industry,Supply,Total revenue,$m,17533.7411,18198.1878,18025.9281,18811.0959,19569.2098,20154.0564,19927.6059,20354.5448,20824.8379,22840.6047
Australia,0,Households,HH,Supply,Total revenue,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Total revenue,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Supply,Total revenue,$m,21.001,19.002,22.003,-,2,2,-,-,-,-
Australia,0,Exports,Exports,Supply,Total revenue,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Supply,Total revenue,$m,78,99,84,84,113,117,122,106,113,231
Australia,0,Subsidies (c),Subsidies,Supply,Total revenue,$m,-38,-37,-33,-36,-33,-35,-18,na,na,na
Australia,0,Total,Total,Supply,Total revenue,$m,17594.7421,18279.1898,18098.9311,18859.0959,19651.2098,20238.0564,20031.6059,20460.5448,20937.8379,23071.6047
Australia,0,"Agriculture, forestry and fishing",A,Use,Distributed,$m,623.5449,634.3806,607.8096,587.9773,536.0283,507.5394,545.9794,685.4797,591.4171,669.6011
Australia,0,Mining,B,Use,Distributed,$m,208.3684,205.6783,199.5349,216.0797,266.3181,281.8175,215.191,235.9783,209.6394,294.3463
Australia,0,Manufacturing,C,Use,Distributed,$m,423.0316,511.5528,486.2656,435.4144,372.7627,357.9161,332.4467,358.4415,318.7702,390.3731
Australia,0,"Electricity, gas and waste services",D,Use,Distributed,$m,166.9251,116.6042,193.2733,144.0352,138.5171,213.8399,259.5308,128.2983,171.093,161.1431
Australia,0,"Water supply, sewerage and drainage services",D,Use,Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"    Total electricity, gas, water and waste services",D,Use,Distributed,$m,166.9251,116.6042,193.2733,144.0352,138.5171,213.8399,259.5308,128.2983,171.093,161.1431
Australia,0,Other industries,E -S,Use,Distributed,$m,931.1514,1167.4313,1164.5668,1532.315,1851.3356,1503.348,1665.8707,1777.9037,1940.5345,2194.7342
Australia,0,Total Industry,Total industry,Use,Distributed,$m,2353.0215,2635.6473,2651.4503,2915.8217,3164.9618,2864.4609,3019.0186,3186.1014,3231.4542,3710.1978
Australia,0,Households,HH,Use,Distributed,$m,5896.3126,6042.9435,5860.0793,6074.0727,6226.9757,6386.0921,6158.5716,6087.2912,6219.9117,6896.37
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Use,Distributed,$m,582.9761,556.8934,474.8631,415.6338,421.7748,433.2894,545.4456,695.5316,732.3064,931.8864
Australia,0,Imports,Imports,Use,Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Exports,Exports,Use,Distributed,$m,32.8649,35.4324,40.9756,43.0244,54.2927,49.1707,36.3659,27.6585,25.6098,35.8537
Australia,0,Taxes (b),Taxes,Use,Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Subsidies (c),Subsidies,Use,Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Use,Distributed,$m,8865.1751,9270.9167,9027.3683,9448.5526,9868.005,9733.0131,9759.4016,9996.5827,10209.282,11574.3078
Australia,0,"Agriculture, forestry and fishing",A,Use,Reuse,$m,27.6159,36.1293,28.0096,30.1967,40.5893,41.5047,42.6985,45.074,52.8453,55.9004
Australia,0,Mining,B,Use,Reuse,$m,2.5876,3.4315,3.0388,1.9844,3.613,3.5479,3.2831,1.6424,1.3253,2.3932
Australia,0,Manufacturing,C,Use,Reuse,$m,17.9631,18.1797,18.4338,19.0613,18.6094,20.1714,23.1929,23.9449,25.6703,25.6891
Australia,0,"Electricity, gas and waste services",D,Use,Reuse,$m,3.238,2.0758,5.007,3.6386,5.1016,4.8548,6.4417,6.7923,4.9133,2.6553
Australia,0,"Water supply, sewerage and drainage services",D,Use,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"    Total electricity, gas, water and waste services",D,Use,Reuse,$m,3.238,2.0758,5.007,3.6386,5.1016,4.8548,6.4417,6.7923,4.9133,2.6553
Australia,0,Other industries,E -S,Use,Reuse,$m,98.8039,103.1926,99.314,110.2331,115.596,132.5982,135.2274,117.7874,120.7118,134.7197
Australia,0,Total Industry,Total industry,Use,Reuse,$m,150.2084,163.0089,153.8032,165.1141,183.5092,202.677,210.8437,195.2409,205.4659,221.3577
Australia,0,Households,HH,Use,Reuse,$m,9.6656,12.6794,7.3753,7.8209,9.9411,11.8971,13.1486,13.7618,13.8107,14.4932
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Use,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Use,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Exports,Exports,Use,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Use,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Subsidies (c),Subsidies,Use,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Use,Reuse,$m,159.874,175.6883,161.1785,172.9351,193.4503,214.574,223.9924,209.0027,219.2767,235.8509
Australia,0,"Agriculture, forestry and fishing",A,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Manufacturing,C,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Electricity, gas and waste services",D,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Water supply, sewerage and drainage services",D,Use,Bulk Water - Distributed,$m,1993.3907,1989.4259,2090.3733,2145.2892,2411.979,2613.741,2514.355,2532.754,2603.416,2759.172
Australia,0,"    Total electricity, gas, water and waste services",D,Use,Bulk Water - Distributed,$m,1993.3907,1989.4259,2090.3733,2145.2892,2411.979,2613.741,2514.355,2532.754,2603.416,2759.172
Australia,0,Other industries,E -S,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total Industry,Total industry,Use,Bulk Water - Distributed,$m,1993.3907,1989.4259,2090.3733,2145.2892,2411.979,2613.741,2514.355,2532.754,2603.416,2759.172
Australia,0,Households,HH,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Exports,Exports,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Subsidies (c),Subsidies,Use,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Use,Bulk Water - Distributed,$m,1993.3907,1989.4259,2090.3733,2145.2892,2411.979,2613.741,2514.355,2532.754,2603.416,2759.172
Australia,0,"Agriculture, forestry and fishing",A,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Manufacturing,C,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Electricity, gas and waste services",D,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Water supply, sewerage and drainage services",D,Use,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023,6.0071,7.1052
Australia,0,"    Total electricity, gas, water and waste services",D,Use,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023,6.0071,7.1052
Australia,0,Other industries,E -S,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total Industry,Total industry,Use,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023,6.0071,7.1052
Australia,0,Households,HH,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Exports,Exports,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Subsidies (c),Subsidies,Use,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Use,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023,6.0071,7.1052
Australia,0,"Agriculture, forestry and fishing",A,Use,Total water supplied,$m,651.1609,670.5099,635.8192,618.174,576.6176,549.0441,588.6779,730.5537,644.2624,725.5015
